query_id,persona_id,split,updated,method,recall_at_5,mrr_at_10,budget_recall,candidate_recall,context_tokens,candidate_count
train-00000,13,cv,FALSE,bm25,0.0,0.16666666666666666,1.0,1.0,2000,72
train-00000,13,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1961,72
train-00000,13,cv,FALSE,rrf,0.0,0.1111111111111111,1.0,1.0,1949,72
train-00000,13,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1962,72
train-00000,13,cv,FALSE,logistic_no_position,0.0,0.0,0.0,1.0,1967,72
train-00000,13,cv,FALSE,random_forest,0.0,0.0,0.0,1.0,1919,72
train-00001,229,cv,TRUE,bm25,0.5,0.5,0.5,1.0,1991,66
train-00001,229,cv,TRUE,semantic,1.0,1.0,1.0,1.0,1984,66
train-00001,229,cv,TRUE,rrf,1.0,1.0,1.0,1.0,1958,66
train-00001,229,cv,TRUE,logistic,1.0,1.0,1.0,1.0,1984,66
train-00001,229,cv,TRUE,logistic_no_position,1.0,1.0,1.0,1.0,1984,66
train-00001,229,cv,TRUE,random_forest,1.0,1.0,1.0,1.0,1972,66
train-00002,950,cv,TRUE,bm25,0.0,0.0,0.0,1.0,1987,78
train-00002,950,cv,TRUE,semantic,1.0,1.0,1.0,1.0,1999,78
train-00002,950,cv,TRUE,rrf,1.0,0.3333333333333333,1.0,1.0,1997,78
train-00002,950,cv,TRUE,logistic,1.0,1.0,1.0,1.0,1999,78
train-00002,950,cv,TRUE,logistic_no_position,1.0,1.0,1.0,1.0,1999,78
train-00002,950,cv,TRUE,random_forest,1.0,1.0,1.0,1.0,1993,78
train-00003,191,cv,FALSE,bm25,0.0,0.1111111111111111,0.0,1.0,1901,76
train-00003,191,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1993,76
train-00003,191,cv,FALSE,rrf,0.0,0.0,0.0,1.0,1999,76
train-00003,191,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1994,76
train-00003,191,cv,FALSE,logistic_no_position,0.0,0.0,0.0,1.0,1993,76
train-00003,191,cv,FALSE,random_forest,0.0,0.0,0.0,1.0,1934,76
train-00004,911,cv,FALSE,bm25,0.0,0.0,0.0,0.0,1930,77
train-00004,911,cv,FALSE,semantic,0.0,0.0,0.0,0.0,1969,77
train-00004,911,cv,FALSE,rrf,0.0,0.0,0.0,0.0,1957,77
train-00004,911,cv,FALSE,logistic,0.0,0.0,0.0,0.0,1981,77
train-00004,911,cv,FALSE,logistic_no_position,0.0,0.0,0.0,0.0,1978,77
train-00004,911,cv,FALSE,random_forest,0.0,0.0,0.0,0.0,1984,77
train-00005,412,cv,TRUE,bm25,0.5,1.0,0.5,1.0,1994,75
train-00005,412,cv,TRUE,semantic,1.0,0.5,1.0,1.0,1964,75
train-00005,412,cv,TRUE,rrf,0.5,1.0,0.5,1.0,1933,75
train-00005,412,cv,TRUE,logistic,1.0,0.3333333333333333,1.0,1.0,1900,75
train-00005,412,cv,TRUE,logistic_no_position,1.0,0.5,1.0,1.0,1964,75
train-00005,412,cv,TRUE,random_forest,0.0,0.0,0.0,1.0,1941,75
train-00007,887,cv,FALSE,bm25,0.0,0.0,0.0,0.0,1980,71
train-00007,887,cv,FALSE,semantic,0.0,0.0,0.0,0.0,1989,71
train-00007,887,cv,FALSE,rrf,0.0,0.0,0.0,0.0,1992,71
train-00007,887,cv,FALSE,logistic,0.0,0.0,0.0,0.0,1989,71
train-00007,887,cv,FALSE,logistic_no_position,0.0,0.0,0.0,0.0,1989,71
train-00007,887,cv,FALSE,random_forest,0.0,0.0,0.0,0.0,1949,71
train-00009,469,cv,FALSE,bm25,0.0,0.0,0.0,1.0,1958,68
train-00009,469,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1980,68
train-00009,469,cv,FALSE,rrf,0.0,0.0,0.0,1.0,1984,68
train-00009,469,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1980,68
train-00009,469,cv,FALSE,logistic_no_position,0.0,0.0,0.0,1.0,1980,68
train-00009,469,cv,FALSE,random_forest,0.0,0.0,0.0,1.0,1988,68
train-00011,205,cv,FALSE,bm25,1.0,0.3333333333333333,1.0,1.0,1987,74
train-00011,205,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1997,74
train-00011,205,cv,FALSE,rrf,0.0,0.1111111111111111,0.0,1.0,1975,74
train-00011,205,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1982,74
train-00011,205,cv,FALSE,logistic_no_position,0.0,0.1,0.0,1.0,1997,74
train-00011,205,cv,FALSE,random_forest,1.0,0.3333333333333333,1.0,1.0,1930,74
train-00013,333,cv,TRUE,bm25,0.5,0.5,0.5,1.0,1933,68
train-00013,333,cv,TRUE,semantic,1.0,1.0,1.0,1.0,1981,68
train-00013,333,cv,TRUE,rrf,0.5,1.0,0.5,1.0,1947,68
train-00013,333,cv,TRUE,logistic,0.5,0.5,1.0,1.0,1986,68
train-00013,333,cv,TRUE,logistic_no_position,0.5,1.0,1.0,1.0,1981,68
train-00013,333,cv,TRUE,random_forest,0.5,1.0,0.5,1.0,1952,68
train-00014,188,cv,FALSE,bm25,0.0,0.0,0.0,0.0,1944,77
train-00014,188,cv,FALSE,semantic,0.0,0.0,0.0,0.0,1990,77
train-00014,188,cv,FALSE,rrf,0.0,0.0,0.0,0.0,1914,77
train-00014,188,cv,FALSE,logistic,0.0,0.0,0.0,0.0,1992,77
train-00014,188,cv,FALSE,logistic_no_position,0.0,0.0,0.0,0.0,1969,77
train-00014,188,cv,FALSE,random_forest,0.0,0.0,0.0,0.0,1988,77
train-00015,160,cv,FALSE,bm25,0.0,0.0,0.0,1.0,1951,70
train-00015,160,cv,FALSE,semantic,0.0,0.125,0.0,1.0,1996,70
train-00015,160,cv,FALSE,rrf,0.0,0.1111111111111111,0.0,1.0,1984,70
train-00015,160,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1989,70
train-00015,160,cv,FALSE,logistic_no_position,0.0,0.125,0.0,1.0,1959,70
train-00015,160,cv,FALSE,random_forest,0.0,0.0,0.0,1.0,1957,70
train-00016,397,cv,TRUE,bm25,0.0,0.16666666666666666,0.5,1.0,1986,77
train-00016,397,cv,TRUE,semantic,1.0,0.3333333333333333,1.0,1.0,1999,77
train-00016,397,cv,TRUE,rrf,0.5,0.25,0.5,1.0,1932,77
train-00016,397,cv,TRUE,logistic,0.5,0.5,1.0,1.0,1991,77
train-00016,397,cv,TRUE,logistic_no_position,0.5,0.25,0.5,1.0,1995,77
train-00016,397,cv,TRUE,random_forest,1.0,0.3333333333333333,1.0,1.0,1997,77
train-00018,756,cv,FALSE,bm25,0.0,0.0,0.0,0.0,1976,67
train-00018,756,cv,FALSE,semantic,0.0,0.0,0.0,0.0,1981,67
train-00018,756,cv,FALSE,rrf,0.0,0.0,0.0,0.0,1990,67
train-00018,756,cv,FALSE,logistic,0.0,0.0,0.0,0.0,1955,67
train-00018,756,cv,FALSE,logistic_no_position,0.0,0.0,0.0,0.0,1981,67
train-00018,756,cv,FALSE,random_forest,0.0,0.0,0.0,0.0,1915,67
train-00019,869,cv,FALSE,bm25,1.0,0.5,1.0,1.0,1977,71
train-00019,869,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1992,71
train-00019,869,cv,FALSE,rrf,1.0,0.25,1.0,1.0,1969,71
train-00019,869,cv,FALSE,logistic,0.0,0.16666666666666666,1.0,1.0,1978,71
train-00019,869,cv,FALSE,logistic_no_position,0.0,0.1111111111111111,1.0,1.0,1978,71
train-00019,869,cv,FALSE,random_forest,0.0,0.0,0.0,1.0,1954,71
train-00021,192,cv,FALSE,bm25,0.0,0.0,0.0,1.0,1998,76
train-00021,192,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1922,76
train-00021,192,cv,FALSE,rrf,0.0,0.0,0.0,1.0,1984,76
train-00021,192,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1928,76
train-00021,192,cv,FALSE,logistic_no_position,0.0,0.0,0.0,1.0,1954,76
train-00021,192,cv,FALSE,random_forest,0.0,0.1111111111111111,0.0,1.0,1993,76
train-00022,877,cv,FALSE,bm25,0.0,0.0,0.0,1.0,1987,74
train-00022,877,cv,FALSE,semantic,0.0,0.0,0.0,1.0,1990,74
train-00022,877,cv,FALSE,rrf,0.0,0.0,0.0,1.0,1999,74
train-00022,877,cv,FALSE,logistic,0.0,0.0,0.0,1.0,1971,74
train-00022,877,cv,FALSE,logistic_no_position,0.0,0.0,0.0,1.0,1990,74
train-00022,877,cv,FALSE,random_forest,0.0,0.1111111111111111,0.0,1.0,1959,74
